# energy_eV sigma_m2
1.34110000e+01 8.05441431e-22
1.34130000e+01 8.07831837e-22
1.34150000e+01 8.10766933e-22
1.34170000e+01 8.14387923e-22
1.34180000e+01 8.16200699e-22
1.34210000e+01 8.21646483e-22
1.34240000e+01 8.27323033e-22
1.34270000e+01 8.33039174e-22
1.34300000e+01 8.38799378e-22
1.34310000e+01 8.40726127e-22
1.34360000e+01 8.50426115e-22
1.34370000e+01 8.52378563e-22
1.34410000e+01 8.60223070e-22
1.34420000e+01 8.62195689e-22
1.34460000e+01 8.70717749e-22
1.34470000e+01 8.73031374e-22
1.34490000e+01 8.78523728e-22
1.34500000e+01 8.81295445e-22
1.34510000e+01 8.84082878e-22
1.34560000e+01 8.98284232e-22
1.34580000e+01 9.04090817e-22
1.34600000e+01 9.08116165e-22
1.34620000e+01 9.12217295e-22
1.34640000e+01 9.16395949e-22
1.34650000e+01 9.18508050e-22
1.34680000e+01 9.22579987e-22
1.34700000e+01 9.25387942e-22
1.34710000e+01 9.26819227e-22
1.34720000e+01 9.28269078e-22
1.34740000e+01 9.31230883e-22
1.34760000e+01 9.31599301e-22
1.34810000e+01 9.32690810e-22
1.34820000e+01 9.32931208e-22
1.34830000e+01 9.33179471e-22
1.34890000e+01 9.34864699e-22
1.34900000e+01 9.35190848e-22
1.34910000e+01 9.35528806e-22
1.34920000e+01 9.35725191e-22
1.34930000e+01 9.35937700e-22
1.34940000e+01 9.35947173e-22
1.34960000e+01 9.36034058e-22
1.34970000e+01 9.36116865e-22
1.35010000e+01 9.36022309e-22
1.35030000e+01 9.36639418e-22
1.35040000e+01 9.36950884e-22
1.35080000e+01 9.40008287e-22
1.35110000e+01 9.42340128e-22
1.35130000e+01 9.43908559e-22
1.35150000e+01 9.45470287e-22
1.35160000e+01 9.46225391e-22
1.35170000e+01 9.47274485e-22
1.35180000e+01 9.48324890e-22
1.35250000e+01 9.55751002e-22
1.35290000e+01 9.60051922e-22
1.35320000e+01 9.63307327e-22
1.35330000e+01 9.64392481e-22
1.35350000e+01 9.66526414e-22
1.35370000e+01 9.68665892e-22
1.35380000e+01 9.69734932e-22
1.35410000e+01 9.72941965e-22
1.35470000e+01 9.79353672e-22
1.35510000e+01 9.83670991e-22
1.35520000e+01 9.84744599e-22
1.35540000e+01 9.86876786e-22
1.35570000e+01 9.90086260e-22
1.35580000e+01 9.91155733e-22
1.35600000e+01 9.93293836e-22
1.35640000e+01 9.97572813e-22
1.35660000e+01 9.99720897e-22
1.35680000e+01 1.00187750e-21
1.35690000e+01 1.00296598e-21
1.35700000e+01 1.00405592e-21
1.35760000e+01 1.01055097e-21
1.35790000e+01 1.01381991e-21
1.35800000e+01 1.01491192e-21
1.35830000e+01 1.01819348e-21
1.35850000e+01 1.02038795e-21
1.35860000e+01 1.02148813e-21
1.35890000e+01 1.02484630e-21
1.35900000e+01 1.02596058e-21
1.35910000e+01 1.02707386e-21
1.35920000e+01 1.02818772e-21
1.35980000e+01 1.03500198e-21
1.36010000e+01 1.03795365e-21
1.36020000e+01 1.03893826e-21
1.36080000e+01 1.04486841e-21
1.36090000e+01 1.04585194e-21
1.36140000e+01 1.05076744e-21
1.36150000e+01 1.05175379e-21
1.36160000e+01 1.05275405e-21
1.36200000e+01 1.05675361e-21
1.36210000e+01 1.05775497e-21
1.36240000e+01 1.06082442e-21
1.36280000e+01 1.06492198e-21
1.36340000e+01 1.07107337e-21
1.36350000e+01 1.07210035e-21
1.36380000e+01 1.07518120e-21
1.36400000e+01 1.07724217e-21
1.36410000e+01 1.07827291e-21
1.36430000e+01 1.08033710e-21
1.36440000e+01 1.08136765e-21
1.36450000e+01 1.08239720e-21
1.36460000e+01 1.08342818e-21
